TIV D MOB,TIV D FIXE,TIVD B FIX,TIVD C FIX
3,4,30,30
10,10,60,40
30,15,70,50
40,20,80,55
50,25,85,60
60,30,90,70
70,35,95,75
80,40,100,80
90,45,110,85
100,50,120,90
110,55,130,95
120,60,140,100
130,70,145,105
140,75,150,110
150,80,155,115
160,85,160,120
,90,170,125
,95,180,130
,100,190,140
,105,200,145
,110,100/110,150
,115,140/150,155
,120,145/155,160
,125,150/155,180
,130,,190
,135,,200
,140,,210
,150,,100/120
,160,,110/120
,15 35,,110/130
,20 35,,120/125
,30 35,,120/130
,30 40,,130/120
,40/60,,130/140
,50 60,,130/150
,50/30,,140/160
,50/60,,60/50
,50/70,,
,60/40,,
,60/50,,
,60/70,,
,70 / 50,,
,70/50,,
,70/60,,
,70/80,,
,80/70,,
